rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,410053,2.0,2.0747114215843814,0.02283031263549293,2.0299648310630256,2.119458012105737,2.076062950907299,0.05798582149365906,1.9587755562812024,2.1933503455333954,2.076062950907299,0.057906314086426,1.958506883584691,2.193619018229907,0,1,1,6.433215888481644,0.3463
1,411053,2.0,1.955731700484821,0.023381515600845414,1.9099047720032025,2.0015586289664395,1.9663765465023038,0.041919348908776015,1.8815866600906697,2.051166432913938,1.9663765465023038,0.042935877966008965,1.8792120802371197,2.0535410127674876,1,1,1,3.3720606557787374,0.6176
2,412053,2.0,1.9865027880524257,0.023366520050089747,1.940705250310217,2.0323003257946346,1.9951618724947127,0.0583734466599099,1.8770904319644628,2.1132333130249625,1.9951618724947127,0.05996532810139351,1.8734257844959405,2.1168979604934846,1,1,1,6.5858578426061865,0.5357
3,413053,2.0,2.0073219159526445,0.023798422894589076,1.9606778641903966,2.0539659677148925,1.9976402057150253,0.054395219044746874,1.8876154900598052,2.1076649213702456,1.9976402057150253,0.05322831483890923,1.8895809817531504,2.1056994296769003,1,1,1,5.002522824348977,0.4693
4,414053,2.0,2.01738669828527,0.023706362693367556,1.970923081201826,2.0638503153687147,2.0258945727859325,0.05216624726975804,1.9203783781010004,2.1314107674708644,2.0258945727859325,0.051179068996298586,1.9219955390560755,2.1297936065157894,1,1,1,4.660740398054827,0.7577
5,415053,2.0,2.005832325013067,0.023296685055074776,1.960171661345948,2.0514929886801863,1.9957318953513432,0.05254636082229431,1.8894468484351132,2.102016942267573,1.9957318953513432,0.05197661407309082,1.8902137590379533,2.1012500316647333,1,1,1,4.977688466107863,0.3595
6,416053,2.0,2.0001880142591073,0.02305375463845405,1.9550034854593141,2.0453725430589005,1.9839620449652728,0.037417666542968624,1.908277670599847,2.059646419330699,1.9839620449652728,0.03732493383540039,1.908188400864607,2.059735689065939,1,1,1,2.6212881233617007,0.7981
7,417053,2.0,1.9947303909865208,0.023481316712445396,1.9487078559205493,2.0407529260524924,1.9757272910897279,0.05491954750503582,1.8646420210187644,2.0868125611606914,1.9757272910897279,0.055962329676928005,1.8621177219292369,2.089336860250219,1,1,1,5.6799783279334255,0.4855
8,418053,2.0,1.9691925974493394,0.023322965088536193,1.9234804258631235,2.0149047690355553,1.9876961880480148,0.05151335172739819,1.8835005992483467,2.091891776847683,1.9876961880480148,0.049678486204771784,1.8868434993402323,2.088548876755797,1,1,1,4.537004215991279,0.6106
9,419053,2.0,2.004113468191005,0.023134520387644304,1.9587706414316144,2.0494562949503954,1.99864811552458,0.0585845063812192,1.8801497664124525,2.1171464646367077,1.99864811552458,0.05738105046406493,1.882158390046149,2.1151378410030115,1,1,1,6.151995205322184,0.4875
10,420053,2.0,2.0148463729734662,0.023708701134388496,1.9683781726298408,2.0613145733170914,2.024315021445233,0.05018603826396069,1.922804177536102,2.1258258653543636,2.024315021445233,0.05138147363746499,1.9200050844486292,2.1286249584418364,1,1,1,4.696751550888776,0.5674
11,421053,2.0,2.0762109389152448,0.023854420994533082,2.0294571328939037,2.122964744936586,2.054622764560889,0.05750774937223571,1.9383023620739182,2.17094316704786,2.054622764560889,0.05747042142553149,1.937951606385029,2.1712939227367487,0,1,1,5.804315411211892,0.5803
12,422053,2.0,1.9267651043346463,0.023952337160874384,1.8798193861537722,1.9737108225155204,1.935662258369964,0.05803182352097224,1.8182818158609177,2.0530427008790104,1.935662258369964,0.055322579905260724,1.8233514502930313,2.047973066446897,0,1,1,5.334688394553761,0.4934
13,423053,2.0,1.8766032122752416,0.023319553858131264,1.8308977265777622,1.922308697972721,1.8754392906085222,0.058662315824068945,1.7567835570428492,1.9940950241741953,1.8754392906085222,0.05863567753202757,1.7564025367724225,1.994476044444622,0,0,0,6.322421135428266,0.4448
14,424053,2.0,2.0067978482606548,0.024162887384976985,1.9594394592236026,2.0541562372977067,2.0163498578931285,0.061166023068870874,1.8926298984169643,2.1400698173692927,2.0163498578931285,0.061520178227699424,1.8914572563257017,2.141242459460555,1,1,1,6.482425142515577,0.3977
15,425053,2.0,1.973782456848841,0.022961921693297135,1.9287779173141495,2.018786996383532,1.9653089507355879,0.0496745653291998,1.8648326584874426,2.065785242983733,1.9653089507355879,0.05036127908427199,1.8630701187897791,2.0675477826813964,1,1,1,4.81035403111158,0.5472
16,426053,2.0,1.9730469883409891,0.02286592910217484,1.9282305908276802,2.017863385854298,1.9739676608561003,0.04537179279273636,1.8821945475484432,2.0657407741637575,1.9739676608561003,0.04342751913281137,1.8858051099603366,2.0621302117518643,1,1,1,3.607051436659799,0.3756
17,427053,2.0,1.9350171378299783,0.023060695046604802,1.8898190060801716,1.980215269579785,1.929784805139044,0.05472232178774038,1.8190984617356518,2.0404711485424363,1.929784805139044,0.054208078996795084,1.8197365541924295,2.0398330560856586,0,1,1,5.525648423768198,0.5502
18,428053,2.0,2.009768509903323,0.023023878294949878,1.9646425376607877,2.0548944821458583,1.9944632909159261,0.04168368068481053,1.910150088481048,2.078776493350804,1.9944632909159261,0.041503741812978584,1.9102062156093431,2.0787203662225093,1,1,1,3.2495075001222617,0.3486
19,429053,2.0,2.036016556968614,0.023299427903967152,1.9903505174164509,2.081682596520777,2.0236401637531913,0.0615497588417096,1.899144025413613,2.1481363020927695,2.0236401637531913,0.06284659636959598,1.8960547901997253,2.151225537306657,1,1,1,7.2756702828708075,0.5025
20,430053,2.0,2.0356589802008753,0.02402769964940397,1.9885655542566978,2.082752406145053,2.047942532994281,0.06889070237174261,1.9085979348320024,2.18728713115656,2.047942532994281,0.07093554542423354,1.9039357198337823,2.19194934615478,1,1,1,8.715723330293361,0.6408
21,431053,2.0,1.9770427924948253,0.023360812920887646,1.9312564405203076,2.022829144469343,1.9746164811355194,0.058632789005014785,1.8560204711986448,2.093212491072394,1.9746164811355194,0.05784058125377435,1.857193858557624,2.092039103713415,1,1,1,6.130408211701269,0.297
22,432053,2.0,2.014645763016304,0.022567393389095077,1.9704144847487306,2.058877041283878,2.0038418154813766,0.038628539230817,1.9257082199249194,2.081975411037834,2.0038418154813766,0.038942706987438444,1.9247839172786478,2.0828997136841054,1,1,1,2.9777585130001443,0.5525
23,433053,2.0,2.029558816224384,0.02272607818369641,1.9850165214744975,2.0741011109742704,2.051360618200054,0.04790471082089385,1.9544641945956454,2.1482570418044626,2.051360618200054,0.04766219015563443,1.9546012280873253,2.148120008312783,1,1,1,4.398443292637105,0.6506
24,434053,2.0,1.9668847620459917,0.024422422370482106,1.9190176937846215,2.014751830307362,1.9798066909175562,0.06161294413910326,1.85518274825066,2.1044306335844527,1.9798066909175562,0.061150868139934964,1.855663828687283,2.1039495531478294,1,1,1,6.26942596600086,0.4947
25,435053,2.0,2.070013462352035,0.024072651782825392,2.0228319318453236,2.117194992858747,2.056028185536372,0.06302179427012902,1.9285545745017574,2.1835017965709866,2.056028185536372,0.062371288522237486,1.9294077382121881,2.182648632860556,0,1,1,6.713076016076446,0.5889
26,436053,2.0,1.9835353647018845,0.02456638455140698,1.9353861357507656,2.0316845936530035,1.9808512991352347,0.07009281515153627,1.8390751983684073,2.122627399902062,1.9808512991352347,0.0696111601829672,1.8395331309530885,2.1221694673173808,1,1,1,8.02925502982769,0.5972
27,437053,2.0,2.0205641835401136,0.0243265455511984,1.9728850303914915,2.0682433366887354,2.0206065980882753,0.07131519219208501,1.8763580063806684,2.1648551897958823,2.0206065980882753,0.07350126393546465,1.8713910994364675,2.169822096740083,1,1,1,9.129116104539523,0.6173
28,438053,2.0,2.031055191201339,0.02358480789416875,1.9848298171464724,2.077280565256206,2.024560973452844,0.05292782534355867,1.917504341713136,2.1316176051925515,2.024560973452844,0.054286960662226276,1.9143525842118438,2.1347693626938438,1,1,1,5.298175855146943,0.6122
29,439053,2.0,1.9956019826689908,0.023071224252961448,1.9503832140539394,2.040820751284042,1.982605189210169,0.053067653862187585,1.8752657275954685,2.0899446508248696,1.982605189210169,0.05426243149709061,1.8724465968217843,2.0927637815985536,1,1,1,5.531682180557937,0.5136
30,440053,2.0,2.035747455737606,0.024002219054726624,1.9887039708413008,2.0827909406339113,2.0258105145107494,0.05262986808949763,1.9193565582033902,2.1322644708181087,2.0258105145107494,0.05409910078086003,1.9159835011043111,2.1356375279171878,1,1,1,5.080158974035262,0.6654
31,441053,2.0,2.0653150706017307,0.02242871550841475,2.0213555959857428,2.1092745452177186,2.070891464199537,0.040693966831456235,1.9885801469892734,2.1532027814098007,2.070891464199537,0.04133430448269802,1.9869783649604982,2.154804563438576,0,1,1,3.3963501984363575,0.5332
