rep,seed,true_att,att_naive,se_naive,ci_lo_naive,ci_hi_naive,att_cluster_psu,se_cluster_psu,ci_lo_cluster_psu,ci_hi_cluster_psu,att_survey,se_survey,ci_lo_survey,ci_hi_survey,covers_naive,covers_cluster_psu,covers_survey,deff_ratio,elapsed_s
0,249623,2.5812370615181996,0.4361820111274931,0.013643246198337396,0.40943246832259605,0.46293155393239016,0.49629276698986396,0.04754453809608437,0.40012486148557225,0.5924606724941557,0.49629276698986396,0.04208634194142209,0.41085295054352805,0.5817325834361998,0,0,0,9.515835511815085,0.1071
1,250623,2.57406731186364,0.45088899051496323,0.012804374515787491,0.4257841760726548,0.47599380495727167,0.5323930441043495,0.048529847199900625,0.4342321628223391,0.6305539253863599,0.5323930441043495,0.03803406126879161,0.4551797947790164,0.6096062934296826,0,0,0,8.823251665881727,0.0925
2,251623,2.574681151531448,0.42525160432376014,0.014859639668963387,0.39611714749348453,0.45438606115403574,0.5258557289591562,0.048924310951889816,0.42689696942771366,0.6248144884905988,0.5258557289591562,0.03731597826268782,0.45010026563765626,0.6016111922806562,0,0,0,6.306277916702208,0.1144
3,252623,2.572332776237505,0.40647577850121525,0.01085867131524007,0.38518579450996254,0.42776576249246795,0.4667053238859174,0.03743781866107897,0.39098018801417017,0.5424304597576646,0.4667053238859174,0.02908598090617817,0.407657643447347,0.5257530043244878,0,0,0,7.174870293154124,0.0871
4,253623,2.577381886599306,0.39714039731415596,0.013073434487059901,0.3715080521717482,0.4227727424565637,0.49593737013536066,0.06119076485013092,0.37216736568289627,0.619707374587825,0.49593737013536066,0.04752559192400603,0.39945528917564554,0.5924194510950758,0,0,0,13.21525901105234,0.0907
5,254623,2.5791116706790267,0.41282727683070314,0.012838367319690987,0.38765581461631343,0.43799873904509284,0.4426428313063698,0.045291944020612464,0.3510312273850637,0.5342544352276759,0.4426428313063698,0.042488113445107646,0.35638737534505677,0.5288982872676828,0,0,0,10.952551442361585,0.1126
6,255623,2.571613726654231,0.41495231571168056,0.01355402404252233,0.38837770575204805,0.4415269256713131,0.4968104457676687,0.047221799637821985,0.40129534041245096,0.5923255511228864,0.4968104457676687,0.03611116360255371,0.4235008862397792,0.5701200052955582,0,0,0,7.09817107727529,0.0687
7,256623,2.576602767907766,0.3888753557351242,0.012348331645653418,0.3646646788095166,0.41308603266073185,0.45220628226664583,0.05328584611869653,0.34442548515588234,0.5599870793774093,0.45220628226664583,0.04473081409696139,0.3613979019313123,0.5430146626019794,0,0,0,13.121909393822285,0.076
8,257623,2.5764881255487695,0.4529797807120473,0.014304703438804233,0.42493335602799504,0.4810262053960996,0.5388804622336222,0.0486295356505252,0.44051794202770095,0.6372429824395435,0.5388804622336222,0.037327829056644356,0.463100940521355,0.6146599839458894,0,0,0,6.809382779148078,0.1262
9,258623,2.5702911013017946,0.425538004658917,0.015250142683567244,0.3956379106076507,0.4554380987101833,0.5207873975246118,0.050613519402103284,0.4184118913988731,0.6231629036503505,0.5207873975246118,0.03876897604315907,0.44208219188924697,0.5994926031599765,0,0,0,6.462801948579663,0.0743
10,259623,2.573918141239485,0.47886696653447614,0.013343725583124856,0.45270467689507227,0.50502925617388,0.5805382835759825,0.05290384916559893,0.4735301482337312,0.6875464189182338,0.5805382835759825,0.040792716803077944,0.49772466577918295,0.663351901372782,0,0,0,9.34568323235479,0.0865
11,260623,2.574085985449373,0.4114950548832321,0.014177255716677528,0.3836985097548849,0.43929160001157935,0.45848122504118183,0.04674188490541341,0.3639368388575988,0.5530256112247649,0.45848122504118183,0.043048587093255625,0.3710879470831882,0.5458745029991754,0,0,0,9.220053863625118,0.1467
12,261623,2.5806375040564946,0.388387196322108,0.012568758154947035,0.3637443415804611,0.4130300510637549,0.464301543532448,0.05095173750079341,0.3612419267294967,0.5673611603353994,0.464301543532448,0.04647495231890102,0.36995237436479045,0.5586507127001056,0,0,0,13.672664786616963,0.058
13,262623,2.5726147964407726,0.40097115472809547,0.013621609611023353,0.37426403355878973,0.4276782758974012,0.45063955711509684,0.05169082724451459,0.34608499019842837,0.5551941240317653,0.45063955711509684,0.042877258543669944,0.36359409460395276,0.5376850196262409,0,0,0,9.908254678350453,0.0838
14,263623,2.5705384283714077,0.4428066027803663,0.012683898771312851,0.41793799833067447,0.4676752072300582,0.5073133454239505,0.045375049200463057,0.4155336454099526,0.5990930454379484,0.5073133454239505,0.036238935132430546,0.4337443959002533,0.5808822949476475,0,0,0,8.162915871226431,0.0814
